STATION_ID;POSTAL_CODE_ID;POINT_OF_INTEREST_ID;X_KM_COORD_NU;Y_KM_COORD_NU;N_COORD_NU;E_COORD_NU;HEIGHT_ASL_NU;METHODEN_MS_REGION_ID;METHODEN_MM_REGION_ID;METHODEN_ME_REGION_ID
-1;-1;200;593269000;244543000;1244543.472;2593269.408;439000;200;209;213
-1;-1;201;550919350;214861380;1214861.977;2550919.036;1018440;201;209;213
-1;-1;202;562127000;184612000;1184612.180;2562126.809;490000;202;210;213
-1;-1;203;498904990;122631530;1122631.739;2498904.439;412310;203;210;213
-1;-1;204;586808000;177400000;1177400.050;2586807.883;1042000;204;211;214
-1;-1;205;560400810;130713310;1130713.595;2560400.273;381020;205;212;214
-1;-1;206;591630000;118575000;1118575.060;2591629.439;482000;206;212;214
-1;-1;207;601706000;127482000;1127482.060;2601705.463;1427000;207;212;214
-1;-1;208;624350000;97560000;1097559.698;2624349.274;1638350;208;212;214
-1;-1;210;562127000;184612000;1184612.180;2562126.809;490000;202;210;213
-1;-1;212;591630000;118575000;1118575.060;2591629.439;482000;206;212;214
-1;-1;213;562127000;184612000;1184612.180;2562126.809;490000;202;210;213
-1;-1;215;610911330;265600584;1265601.147;2610911.817;316172;215;226;230
-1;-1;216;648389000;248365000;1248365.146;2648389.742;386660;216;227;230
-1;-1;217;682710030;259338730;1259338.639;2682711.050;426000;217;227;230
-1;-1;218;633019000;169093000;1169092.684;2633019.185;577340;218;228;231
-1;-1;219;665540000;209848000;1209847.896;2665540.784;454000;219;228;231
-1;-1;220;747865280;254588120;1254587.703;2747865.848;775660;220;228;231
-1;-1;221;723752120;210567830;1210567.530;2723752.880;516620;221;228;231
-1;-1;222;759471000;193157000;1193156.744;2759471.872;556000;222;228;231
-1;-1;223;708188700;173789370;1173789.006;2708189.224;1197050;223;229;231
-1;-1;224;783514100;187457560;1187457.457;2783514.956;1594160;224;229;231
-1;-1;225;666740000;150760000;1150759.684;2666740.133;1345870;225;229;231
-1;-1;226;610911330;265600584;1265601.147;2610911.817;316172;215;226;230
-1;-1;227;648389000;248365000;1248365.146;2648389.742;386660;216;227;230
-1;-1;228;723752120;210567830;1210567.530;2723752.880;516620;221;228;231
-1;-1;229;783514100;187457560;1187457.457;2783514.956;1594160;224;229;231
-1;-1;230;648389000;248365000;1248365.146;2648389.742;386660;216;227;230
-1;-1;231;723752120;210567830;1210567.530;2723752.880;516620;221;228;231
-1;-1;232;717873860;95884080;1095882.987;2717874.082;273000;232;239;242
-1;-1;233;704160000;114350000;1114349.145;2704160.072;366750;233;239;242
-1;-1;234;689688000;130565000;1130564.301;2689688.008;417000;234;240;243
-1;-1;235;714998000;146440000;1146439.498;2714998.460;575320;235;240;243
-1;-1;236;801850000;136180000;1136179.882;2801851.424;1078000;236;240;243
-1;-1;237;817135000;186393000;1186393.050;2817136.018;1303930;238;241;243
-1;-1;238;787210000;155700000;1155699.719;2787211.034;1708530;237;241;243
-1;-1;240;714998000;146440000;1146439.498;2714998.460;575320;235;240;243
-1;-1;241;787210000;155700000;1155699.719;2787211.034;1708530;237;241;243
-1;-1;242;717873860;95884080;1095882.987;2717874.082;273000;232;239;242
-1;-1;243;714998000;146440000;1146439.498;2714998.460;575320;235;240;243
-1;-1;436;618613743;105515682;1105515.383;2618613.179;2786000;208;212;214
-1;-1;437;709409726;197202306;1197202.021;2709410.448;1898000;221;228;231
-1;-1;438;630292685;100080824;1100080.428;2630292.017;2701000;208;212;214
-1;-1;439;619285002;144461000;1144460.941;2619284.685;1956000;218;228;231
-1;-1;440;775350775;155672145;1155671.847;2775351.764;2652000;237;241;243
-1;-1;441;582818282;131946844;1131947.151;2582817.767;2486000;204;211;214
-1;-1;442;692570031;174871081;1174870.737;2692570.508;1475000;219;228;231
-1;-1;443;595524057;87512897;1087513.005;2595523.171;2462000;208;212;214
-1;-1;444;791137958;143456471;1143456.081;2791139.128;2495000;237;241;243
-1;-1;445;629307901;105769652;1105769.335;2629307.307;2940000;208;212;214
-1;-1;446;587811847;103577388;1103577.419;2587811.220;2457000;208;212;214
-1;-1;447;821165171;183459952;1183459.935;2821166.200;2500000;238;241;243
-1;-1;448;678125268;188851362;1188851.145;2678125.908;2294000;219;228;231
-1;-1;449;647175986;150089851;1150089.526;2647175.910;2850000;225;229;231
-1;-1;450;806079761;141928831;1141928.643;2806081.141;1985000;236;240;243
-1;-1;451;650383782;163973679;1163973.464;2650383.969;2316000;218;228;231
-1;-1;452;685169066;170077834;1170077.474;2685169.517;2105000;225;229;231
-1;-1;453;727054790;151199132;1151198.589;2727055.410;2276000;235;240;243
-1;-1;454;678517225;162475417;1162475.150;2678517.601;2542000;225;229;231
-1;-1;455;715967303;206742740;1206742.488;2715967.982;1990000;221;228;231
-1;-1;456;719513408;150949579;1150949.100;2719514.024;2012000;235;240;243
-1;-1;457;747150458;162034783;1162034.339;2747151.217;2385000;224;229;231
-1;-1;458;592335708;135364167;1135364.334;2592335.271;2002000;218;228;231
-1;-1;459;656351941;153013706;1153013.451;2656351.920;3258000;225;229;231
-1;-1;460;587057252;86546086;1086546.131;2587056.255;3037000;208;212;214
-1;-1;461;596103459;136431714;1136431.806;2596103.028;2303000;218;228;231
-1;-1;462;678023483;166465317;1166465.026;2678023.936;2438000;225;229;231
-1;-1;463;680246922;171572921;1171572.605;2680247.405;2126000;225;229;231
-1;-1;464;612368117;147039140;1147039.090;2612367.803;2171000;218;228;231
-1;-1;465;625558352;151038104;1151038.008;2625558.184;2840000;218;228;231
-1;-1;466;640050769;147241584;1147241.281;2640050.613;3238000;207;212;214
-1;-1;467;733328386;194980744;1194980.424;2733329.068;2002000;221;228;231
-1;-1;468;602872971;93137212;1093137.178;2602872.104;3160000;208;212;214
-1;-1;469;683530120;147304236;1147303.811;2683530.312;2575000;235;240;243
-1;-1;470;750131608;235667282;1235666.985;2750132.242;1554000;220;228;231
-1;-1;471;620027538;99705155;1099704.867;2620026.825;3198000;208;212;214
-1;-1;472;686775050;183840710;1183840.314;2686775.651;1903000;219;228;231
-1;-1;473;641666816;110396059;1110395.640;2641666.333;2726000;208;212;214
-1;-1;474;739909957;197680134;1197679.802;2739910.643;2158000;223;229;231
-1;-1;475;681770661;183742391;1183742.024;2681771.284;1956000;219;228;231
-1;-1;476;680081984;167886169;1167885.855;2680082.437;2370000;225;229;231
-1;-1;477;688770400;182049826;1182049.432;2688770.952;2208000;219;228;231
-1;-1;478;671767244;170060574;1170060.301;2671767.711;2520000;218;228;231
-1;-1;479;614745404;94509545;1094509.336;2614744.557;2694000;208;212;214
-1;-1;480;719940604;166006126;1166005.685;2719941.228;2170000;223;229;231
-1;-1;481;688696597;125084249;1125083.518;2688696.583;1734000;233;239;242
-1;-1;482;722959403;155731375;1155730.904;2722960.012;2090000;224;229;231
-1;-1;483;606896580;94951694;1094951.592;2606895.730;3311000;208;212;214
-1;-1;484;602245582;136847678;1136847.765;2602245.088;2793000;218;228;231
-1;-1;485;755746550;194462095;1194461.811;2755747.314;2073000;222;228;231
-1;-1;486;649476384;123459794;1123459.374;2649476.104;2848000;234;240;243
-1;-1;487;705122638;177731548;1177731.160;2705123.128;2649000;223;229;231
-1;-1;488;792814174;176310502;1176310.419;2792815.025;2542000;238;241;243
-1;-1;489;655946186;167360399;1167360.169;2655946.463;2663000;218;228;231
-1;-1;490;786510634;168886974;1168886.813;2786511.547;2625000;224;229;231
-1;-1;491;720490867;190807112;1190806.722;2720491.531;2501000;221;228;231
-1;-1;492;623283956;148080601;1148080.453;2623283.743;2562000;218;228;231
-1;-1;493;767324949;131324591;1131323.996;2767325.955;2118000;236;240;243
-1;-1;494;576517037;119908038;1119908.262;2576516.527;2580000;207;212;214
-1;-1;495;585009818;85056719;1085056.820;2585008.823;2642000;208;212;214
-1;-1;496;781626874;208989654;1208989.707;2781627.527;2236000;223;229;231
-1;-1;497;696325323;158586749;1158586.371;2696325.623;2570000;235;240;243
-1;-1;498;714154099;190909965;1190909.557;2714154.765;2453000;221;228;231
-1;-1;499;619869681;148431909;1148431.736;2619869.462;1915000;218;228;231
-1;-1;500;669235977;164845719;1164845.431;2669236.382;2412000;218;228;231
-1;-1;501;631773811;110429321;1110428.978;2631773.312;2886000;208;212;214
-1;-1;502;784357367;139740209;1139739.770;2784358.487;2610000;237;241;243
-1;-1;503;678120462;196489250;1196489.019;2678121.120;1753000;219;228;231
-1;-1;504;760559593;211916744;1211916.593;2760560.241;1501000;222;228;231
-1;-1;505;630059406;148399395;1148399.314;2630059.207;2901000;218;228;231
-1;-1;506;787717993;142091347;1142090.922;2787719.164;2583000;237;241;243
-1;-1;507;712937266;166539258;1166538.874;2712937.719;2524000;223;229;231
-1;-1;508;698013835;174911030;1174910.674;2698014.268;2052000;219;228;231
-1;-1;509;674145464;188209059;1188208.758;2674146.112;1860000;219;228;231
-1;-1;510;695484416;198993724;1198993.437;2695485.076;1727000;221;228;231
-1;-1;511;676616914;169430802;1169430.519;2676617.394;2350000;225;229;231
